source:,"Table 32-10-0160-01  Hogs statistics, number of hogs on farms at end of semi-annual period (x 1,000)",,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Livestock,Survey date,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008,Ontario,2016A000235,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722947,8.2.1,386,,,,1
2008,Ontario,2016A000235,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722948,8.2.2,351.3,,,,1
2008,Ontario,2016A000235,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722949,8.3.1,8.4,,,,1
2008,Ontario,2016A000235,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722950,8.3.2,7.5,,,,1
2008,Ontario,2016A000235,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722951,8.4.1,377.6,,,,1
2008,Ontario,2016A000235,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722952,8.4.2,343.8,,,,1
2008,Ontario,2016A000235,All other hogs,At January 1,Head,148,thousands,3,v1064722953,8.5.1,3367.2,,,,1
2008,Ontario,2016A000235,All other hogs,At July 1,Head,148,thousands,3,v1064722954,8.5.2,2997.5,,,,1
2008,Ontario,2016A000235,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722955,8.6.1,1344.3,,,,1
2008,Ontario,2016A000235,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722956,8.6.2,1189.2,,,,1
2008,Ontario,2016A000235,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722957,8.7.1,436.8,,,,1
2008,Ontario,2016A000235,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722958,8.7.2,412.8,,,,1
2008,Ontario,2016A000235,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722959,8.8.1,907.5,,,,1
2008,Ontario,2016A000235,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722960,8.8.2,776.4,,,,1
2008,Ontario,2016A000235,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722961,8.9.1,900.2,,,,1
2008,Ontario,2016A000235,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722962,8.9.2,770.1,,,,1
2008,Ontario,2016A000235,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363618,8.10.1,547.5,,,,1
2008,Ontario,2016A000235,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363619,8.10.2,495.8,,,,1
2008,Ontario,2016A000235,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722963,8.11.1,575.2,,,,1
2008,Ontario,2016A000235,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722964,8.11.2,542.4,,,,1
2008,Western provinces,,"Hogs, total",At January 1,Head,148,thousands,3,v1064722965,9.1.1,5989,,,,1
2008,Western provinces,,"Hogs, total",At July 1,Head,148,thousands,3,v1064722966,9.1.2,5618,,,,1
2008,Western provinces,,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722967,9.2.1,682.2,,,,1
2008,Western provinces,,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722968,9.2.2,651.7,,,,1
2008,Western provinces,,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722969,9.3.1,16.2,,,,1
2008,Western provinces,,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722970,9.3.2,15.6,,,,1
2008,Western provinces,,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722971,9.4.1,666,,,,1
2008,Western provinces,,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722972,9.4.2,636.1,,,,1
2008,Western provinces,,All other hogs,At January 1,Head,148,thousands,3,v1064722973,9.5.1,5306.8,,,,1
2008,Western provinces,,All other hogs,At July 1,Head,148,thousands,3,v1064722974,9.5.2,4966.3,,,,1
2008,Western provinces,,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722975,9.6.1,2079.2,,,,1
2008,Western provinces,,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722976,9.6.2,2050.6,,,,1
2008,Western provinces,,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722977,9.7.1,997.2,,,,1
2008,Western provinces,,Under 7 kilograms,At July 1,Head,148,thousands,3,v1064722978,9.7.2,1007.4,,,,1
2008,Western provinces,,7 to 22 kilograms,At January 1,Head,148,thousands,3,v1064722979,9.8.1,1082,,,,1
2008,Western provinces,,7 to 22 kilograms,At July 1,Head,148,thousands,3,v1064722980,9.8.2,1043.2,,,,1
2008,Western provinces,,23 to 53 kilograms,At January 1,Head,148,thousands,3,v1064722981,9.9.1,1265.6,,,,1
2008,Western provinces,,23 to 53 kilograms,At July 1,Head,148,thousands,3,v1064722982,9.9.2,1136.8,,,,1
2008,Western provinces,,54 to 80 kilograms,At January 1,Head,148,thousands,3,v1066363620,9.10.1,869.7,,,,1
2008,Western provinces,,54 to 80 kilograms,At July 1,Head,148,thousands,3,v1066363621,9.10.2,814.3,,,,1
2008,Western provinces,,Over 81 kilograms,At January 1,Head,148,thousands,3,v1064722983,9.11.1,1092.3,,,,1
2008,Western provinces,,Over 81 kilograms,At July 1,Head,148,thousands,3,v1064722984,9.11.2,964.6,,,,1
2008,Manitoba,2016A000246,"Hogs, total",At January 1,Head,148,thousands,3,v1064722985,10.1.1,2880,,,,1
2008,Manitoba,2016A000246,"Hogs, total",At July 1,Head,148,thousands,3,v1064722986,10.1.2,2840,,,,1
2008,Manitoba,2016A000246,"Breeding stock, 6 months and over",At January 1,Head,148,thousands,3,v1064722987,10.2.1,361,,,,1
2008,Manitoba,2016A000246,"Breeding stock, 6 months and over",At July 1,Head,148,thousands,3,v1064722988,10.2.2,342.3,,,,1
2008,Manitoba,2016A000246,"Boars, 6 months and over",At January 1,Head,148,thousands,3,v1064722989,10.3.1,4.7,,,,1
2008,Manitoba,2016A000246,"Boars, 6 months and over",At July 1,Head,148,thousands,3,v1064722990,10.3.2,4.5,,,,1
2008,Manitoba,2016A000246,"Sows and gilts, 6 months and over",At January 1,Head,148,thousands,3,v1064722991,10.4.1,356.3,,,,1
2008,Manitoba,2016A000246,"Sows and gilts, 6 months and over",At July 1,Head,148,thousands,3,v1064722992,10.4.2,337.8,,,,1
2008,Manitoba,2016A000246,All other hogs,At January 1,Head,148,thousands,3,v1064722993,10.5.1,2519,,,,1
2008,Manitoba,2016A000246,All other hogs,At July 1,Head,148,thousands,3,v1064722994,10.5.2,2497.7,,,,1
2008,Manitoba,2016A000246,Under 23 kilograms,At January 1,Head,148,thousands,3,v1064722995,10.6.1,1183,,,,1
2008,Manitoba,2016A000246,Under 23 kilograms,At July 1,Head,148,thousands,3,v1064722996,10.6.2,1213.8,,,,1
2008,Manitoba,2016A000246,Under 7 kilograms,At January 1,Head,148,thousands,3,v1064722997,10.7.1,607.1,,,,1
