source:,"Table 32-10-0117-01  Production, disposition and farm value of poultry meat (x 1,000)",,,,,,,,,,,,,,,
REF_DATE,GEO,DGUID,Production and disposition,Commodity,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1941,Saskatchewan,2016A000247,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60649,9.3.1.3,1497,,,,0
1941,Saskatchewan,2016A000247,Sold,Turkey,Birds,Birds,37,thousands,3,v60770,9.3.2.1,793,,,,0
1941,Saskatchewan,2016A000247,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60798,9.3.2.2,4316,,,,0
1941,Saskatchewan,2016A000247,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60826,9.3.2.3,1503,,,,0
1941,Alberta,2016A000248,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60588,10.1.1.1,5026,,,,0
1941,Alberta,2016A000248,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60619,10.1.1.2,11399,,,,0
1941,Alberta,2016A000248,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60650,10.1.1.3,2739,,,,0
1941,Alberta,2016A000248,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60771,10.1.2.1,598,,,,0
1941,Alberta,2016A000248,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60799,10.1.2.2,3256,,,,0
1941,Alberta,2016A000248,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60827,10.1.2.3,1105,,,,0
1941,Alberta,2016A000248,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60589,10.2.1.1,2514,,,,0
1941,Alberta,2016A000248,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60620,10.2.1.2,5702,,,,0
1941,Alberta,2016A000248,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60651,10.2.1.3,1370,,,,0
1941,Alberta,2016A000248,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60772,10.2.2.1,66,,,,0
1941,Alberta,2016A000248,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60800,10.2.2.2,359,,,,0
1941,Alberta,2016A000248,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60828,10.2.2.3,122,,,,0
1941,Alberta,2016A000248,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60590,10.3.1.1,2337,,,,0
1941,Alberta,2016A000248,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60621,10.3.1.2,5300,,,,0
1941,Alberta,2016A000248,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60652,10.3.1.3,1274,,,,0
1941,Alberta,2016A000248,Sold,Turkey,Birds,Birds,37,thousands,3,v60773,10.3.2.1,524,,,,0
1941,Alberta,2016A000248,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60801,10.3.2.2,2852,,,,0
1941,Alberta,2016A000248,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60829,10.3.2.3,968,,,,0
1941,British Columbia,2016A000259,"Production, total",Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60591,11.1.1.1,1861,,,,0
1941,British Columbia,2016A000259,"Production, total",Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60622,11.1.1.2,4221,,,,0
1941,British Columbia,2016A000259,"Production, total",Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60653,11.1.1.3,1553,,,,0
1941,British Columbia,2016A000259,"Production, total",Turkey,Birds,Birds,37,thousands,3,v60774,11.1.2.1,44,,,,0
1941,British Columbia,2016A000259,"Production, total",Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60802,11.1.2.2,240,,,,0
1941,British Columbia,2016A000259,"Production, total",Turkey,Value (dollars),Dollars,81,thousands,3,v60830,11.1.2.3,124,,,,0
1941,British Columbia,2016A000259,Home consumption,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60592,11.2.1.1,494,,,,0
1941,British Columbia,2016A000259,Home consumption,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60623,11.2.1.2,1120,,,,0
1941,British Columbia,2016A000259,Home consumption,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60654,11.2.1.3,412,,,,0
1941,British Columbia,2016A000259,Home consumption,Turkey,Birds,Birds,37,thousands,3,v60775,11.2.2.1,4,,,,0
1941,British Columbia,2016A000259,Home consumption,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60803,11.2.2.2,22,,,,0
1941,British Columbia,2016A000259,Home consumption,Turkey,Value (dollars),Dollars,81,thousands,3,v60831,11.2.2.3,11,,,,0
1941,British Columbia,2016A000259,Sold,Chicken (including stewing hen),Birds,Birds,37,thousands,3,v60593,11.3.1.1,1242,,,,0
1941,British Columbia,2016A000259,Sold,Chicken (including stewing hen),Weight (kilograms),Kilograms,192,thousands,3,v60624,11.3.1.2,2817,,,,0
1941,British Columbia,2016A000259,Sold,Chicken (including stewing hen),Value (dollars),Dollars,81,thousands,3,v60655,11.3.1.3,1037,,,,0
1941,British Columbia,2016A000259,Sold,Turkey,Birds,Birds,37,thousands,3,v60776,11.3.2.1,34,,,,0
1941,British Columbia,2016A000259,Sold,Turkey,Weight (kilograms),Kilograms,192,thousands,3,v60804,11.3.2.2,185,,,,0
1941,British Columbia,2016A000259,Sold,Turkey,Value (dollars),Dollars,81,thousands,3,v60832,11.3.2.3,96,,,,0
