source:,"Table 32-10-0107-01  Aquaculture, production and value",,,,,,,,,** finfish production is reported as gutted head-on. Shellfish is reported as whole,,,,,
REF_DATE,GEO,DGUID,Finfish and shellfish,Production,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,Quebec,2016A000224,Other finfish,Tonnes,Tonnes,287,units,0,v110562,6.6.1,,x,,,0
1991,Quebec,2016A000224,Other finfish,Dollars,Dollars,81,thousands,3,v110573,6.6.2,,x,,,0
1991,Quebec,2016A000224,Total shellfish,Tonnes,Tonnes,287,units,0,v110716,6.7.1,90,,,,0
1991,Quebec,2016A000224,Total shellfish,Dollars,Dollars,81,thousands,3,v110727,6.7.2,106,,,,0
1991,Quebec,2016A000224,Clams,Tonnes,Tonnes,287,units,0,v110606,6.8.1,0,,,,0
1991,Quebec,2016A000224,Clams,Dollars,Dollars,81,thousands,3,v110617,6.8.2,0,,,,0
1991,Quebec,2016A000224,Oysters,Tonnes,Tonnes,287,units,0,v110628,6.9.1,0,,,,0
1991,Quebec,2016A000224,Oysters,Dollars,Dollars,81,thousands,3,v110639,6.9.2,0,,,,0
1991,Quebec,2016A000224,Mussels,Tonnes,Tonnes,287,units,0,v110650,6.10.1,,x,,,0
1991,Quebec,2016A000224,Mussels,Dollars,Dollars,81,thousands,3,v110661,6.10.2,,x,,,0
1991,Quebec,2016A000224,Scallops,Tonnes,Tonnes,287,units,0,v110672,6.11.1,,x,,,0
1991,Quebec,2016A000224,Scallops,Dollars,Dollars,81,thousands,3,v110683,6.11.2,,x,,,0
1991,Quebec,2016A000224,Other shellfish,Tonnes,Tonnes,287,units,0,v110694,6.12.1,0,,,,0
1991,Quebec,2016A000224,Other shellfish,Dollars,Dollars,81,thousands,3,v110705,6.12.2,0,,,,0
1991,Ontario,2016A000235,Total aquaculture,Tonnes,Tonnes,287,units,0,v110739,7.1.1,2380,,,,0
1991,Ontario,2016A000235,Total aquaculture,Dollars,Dollars,81,thousands,3,v110750,7.1.2,10900,,,,0
1991,Ontario,2016A000235,Total finfish,Tonnes,Tonnes,287,units,0,v110585,7.2.1,2380,,,,0
1991,Ontario,2016A000235,Total finfish,Dollars,Dollars,81,thousands,3,v110596,7.2.2,10900,,,,0
1991,Ontario,2016A000235,Salmon,Tonnes,Tonnes,287,units,0,v110497,7.3.1,80,,,,0
1991,Ontario,2016A000235,Salmon,Dollars,Dollars,81,thousands,3,v110508,7.3.2,400,,,,0
1991,Ontario,2016A000235,Trout,Tonnes,Tonnes,287,units,0,v110519,7.4.1,2300,,,,0
1991,Ontario,2016A000235,Trout,Dollars,Dollars,81,thousands,3,v110530,7.4.2,10500,,,,0
1991,Ontario,2016A000235,Steelhead,Tonnes,Tonnes,287,units,0,v110541,7.5.1,0,,,,0
1991,Ontario,2016A000235,Steelhead,Dollars,Dollars,81,thousands,3,v110552,7.5.2,0,,,,0
1991,Ontario,2016A000235,Other finfish,Tonnes,Tonnes,287,units,0,v110563,7.6.1,,x,,,0
1991,Ontario,2016A000235,Other finfish,Dollars,Dollars,81,thousands,3,v110574,7.6.2,,x,,,0
1991,Ontario,2016A000235,Total shellfish,Tonnes,Tonnes,287,units,0,v110717,7.7.1,0,,,,0
1991,Ontario,2016A000235,Total shellfish,Dollars,Dollars,81,thousands,3,v110728,7.7.2,0,,,,0
1991,Ontario,2016A000235,Clams,Tonnes,Tonnes,287,units,0,v110607,7.8.1,0,,,,0
1991,Ontario,2016A000235,Clams,Dollars,Dollars,81,thousands,3,v110618,7.8.2,0,,,,0
1991,Ontario,2016A000235,Oysters,Tonnes,Tonnes,287,units,0,v110629,7.9.1,0,,,,0
1991,Ontario,2016A000235,Oysters,Dollars,Dollars,81,thousands,3,v110640,7.9.2,0,,,,0
1991,Ontario,2016A000235,Mussels,Tonnes,Tonnes,287,units,0,v110651,7.10.1,0,,,,0
1991,Ontario,2016A000235,Mussels,Dollars,Dollars,81,thousands,3,v110662,7.10.2,0,,,,0
1991,Ontario,2016A000235,Scallops,Tonnes,Tonnes,287,units,0,v110673,7.11.1,0,,,,0
1991,Ontario,2016A000235,Scallops,Dollars,Dollars,81,thousands,3,v110684,7.11.2,0,,,,0
1991,Ontario,2016A000235,Other shellfish,Tonnes,Tonnes,287,units,0,v110695,7.12.1,0,,,,0
1991,Ontario,2016A000235,Other shellfish,Dollars,Dollars,81,thousands,3,v110706,7.12.2,0,,,,0
1991,Manitoba,2016A000246,Total aquaculture,Tonnes,Tonnes,287,units,0,v110740,8.1.1,,x,,,0
1991,Manitoba,2016A000246,Total aquaculture,Dollars,Dollars,81,thousands,3,v110751,8.1.2,,x,,,0
1991,Manitoba,2016A000246,Total finfish,Tonnes,Tonnes,287,units,0,v110586,8.2.1,,x,,,0
1991,Manitoba,2016A000246,Total finfish,Dollars,Dollars,81,thousands,3,v110597,8.2.2,,x,,,0
1991,Manitoba,2016A000246,Salmon,Tonnes,Tonnes,287,units,0,v110498,8.3.1,0,,,,0
1991,Manitoba,2016A000246,Salmon,Dollars,Dollars,81,thousands,3,v110509,8.3.2,0,,,,0
1991,Manitoba,2016A000246,Trout,Tonnes,Tonnes,287,units,0,v110520,8.4.1,,x,,,0
1991,Manitoba,2016A000246,Trout,Dollars,Dollars,81,thousands,3,v110531,8.4.2,,x,,,0
1991,Manitoba,2016A000246,Steelhead,Tonnes,Tonnes,287,units,0,v110542,8.5.1,0,,,,0
1991,Manitoba,2016A000246,Steelhead,Dollars,Dollars,81,thousands,3,v110553,8.5.2,0,,,,0
1991,Manitoba,2016A000246,Other finfish,Tonnes,Tonnes,287,units,0,v110564,8.6.1,,x,,,0
1991,Manitoba,2016A000246,Other finfish,Dollars,Dollars,81,thousands,3,v110575,8.6.2,,x,,,0
1991,Manitoba,2016A000246,Total shellfish,Tonnes,Tonnes,287,units,0,v110718,8.7.1,0,,,,0
1991,Manitoba,2016A000246,Total shellfish,Dollars,Dollars,81,thousands,3,v110729,8.7.2,0,,,,0
1991,Manitoba,2016A000246,Clams,Tonnes,Tonnes,287,units,0,v110608,8.8.1,0,,,,0
1991,Manitoba,2016A000246,Clams,Dollars,Dollars,81,thousands,3,v110619,8.8.2,0,,,,0
1991,Manitoba,2016A000246,Oysters,Tonnes,Tonnes,287,units,0,v110630,8.9.1,0,,,,0
1991,Manitoba,2016A000246,Oysters,Dollars,Dollars,81,thousands,3,v110641,8.9.2,0,,,,0
1991,Manitoba,2016A000246,Mussels,Tonnes,Tonnes,287,units,0,v110652,8.10.1,0,,,,0
1991,Manitoba,2016A000246,Mussels,Dollars,Dollars,81,thousands,3,v110663,8.10.2,0,,,,0
1991,Manitoba,2016A000246,Scallops,Tonnes,Tonnes,287,units,0,v110674,8.11.1,0,,,,0
1991,Manitoba,2016A000246,Scallops,Dollars,Dollars,81,thousands,3,v110685,8.11.2,0,,,,0
1991,Manitoba,2016A000246,Other shellfish,Tonnes,Tonnes,287,units,0,v110696,8.12.1,0,,,,0
1991,Manitoba,2016A000246,Other shellfish,Dollars,Dollars,81,thousands,3,v110707,8.12.2,0,,,,0
1991,Saskatchewan,2016A000247,Total aquaculture,Tonnes,Tonnes,287,units,0,v110741,9.1.1,110,,,,0
1991,Saskatchewan,2016A000247,Total aquaculture,Dollars,Dollars,81,thousands,3,v110752,9.1.2,240,,,,0
1991,Saskatchewan,2016A000247,Total finfish,Tonnes,Tonnes,287,units,0,v110587,9.2.1,110,,,,0
1991,Saskatchewan,2016A000247,Total finfish,Dollars,Dollars,81,thousands,3,v110598,9.2.2,240,,,,0
1991,Saskatchewan,2016A000247,Salmon,Tonnes,Tonnes,287,units,0,v110499,9.3.1,0,,,,0
1991,Saskatchewan,2016A000247,Salmon,Dollars,Dollars,81,thousands,3,v110510,9.3.2,0,,,,0
1991,Saskatchewan,2016A000247,Trout,Tonnes,Tonnes,287,units,0,v110521,9.4.1,110,,,,0
1991,Saskatchewan,2016A000247,Trout,Dollars,Dollars,81,thousands,3,v110532,9.4.2,240,,,,0
1991,Saskatchewan,2016A000247,Steelhead,Tonnes,Tonnes,287,units,0,v110543,9.5.1,0,,,,0
1991,Saskatchewan,2016A000247,Steelhead,Dollars,Dollars,81,thousands,3,v110554,9.5.2,0,,,,0
1991,Saskatchewan,2016A000247,Other finfish,Tonnes,Tonnes,287,units,0,v110565,9.6.1,,x,,,0
1991,Saskatchewan,2016A000247,Other finfish,Dollars,Dollars,81,thousands,3,v110576,9.6.2,,x,,,0
1991,Saskatchewan,2016A000247,Total shellfish,Tonnes,Tonnes,287,units,0,v110719,9.7.1,0,,,,0
1991,Saskatchewan,2016A000247,Total shellfish,Dollars,Dollars,81,thousands,3,v110730,9.7.2,0,,,,0
1991,Saskatchewan,2016A000247,Clams,Tonnes,Tonnes,287,units,0,v110609,9.8.1,0,,,,0
1991,Saskatchewan,2016A000247,Clams,Dollars,Dollars,81,thousands,3,v110620,9.8.2,0,,,,0
1991,Saskatchewan,2016A000247,Oysters,Tonnes,Tonnes,287,units,0,v110631,9.9.1,0,,,,0
1991,Saskatchewan,2016A000247,Oysters,Dollars,Dollars,81,thousands,3,v110642,9.9.2,0,,,,0
1991,Saskatchewan,2016A000247,Mussels,Tonnes,Tonnes,287,units,0,v110653,9.10.1,0,,,,0
1991,Saskatchewan,2016A000247,Mussels,Dollars,Dollars,81,thousands,3,v110664,9.10.2,0,,,,0
1991,Saskatchewan,2016A000247,Scallops,Tonnes,Tonnes,287,units,0,v110675,9.11.1,0,,,,0
1991,Saskatchewan,2016A000247,Scallops,Dollars,Dollars,81,thousands,3,v110686,9.11.2,0,,,,0
1991,Saskatchewan,2016A000247,Other shellfish,Tonnes,Tonnes,287,units,0,v110697,9.12.1,0,,,,0
1991,Saskatchewan,2016A000247,Other shellfish,Dollars,Dollars,81,thousands,3,v110708,9.12.2,0,,,,0
1991,Alberta,2016A000248,Total aquaculture,Tonnes,Tonnes,287,units,0,v110742,10.1.1,34,,,,0
1991,Alberta,2016A000248,Total aquaculture,Dollars,Dollars,81,thousands,3,v110753,10.1.2,187,,,,0
1991,Alberta,2016A000248,Total finfish,Tonnes,Tonnes,287,units,0,v110588,10.2.1,34,,,,0
1991,Alberta,2016A000248,Total finfish,Dollars,Dollars,81,thousands,3,v110599,10.2.2,187,,,,0
1991,Alberta,2016A000248,Salmon,Tonnes,Tonnes,287,units,0,v110500,10.3.1,0,,,,0
1991,Alberta,2016A000248,Salmon,Dollars,Dollars,81,thousands,3,v110511,10.3.2,0,,,,0
1991,Alberta,2016A000248,Trout,Tonnes,Tonnes,287,units,0,v110522,10.4.1,34,,,,0
